time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,4883000,1251000,1315000,1260000,105000,5689000,79000,32000,11000,138000,79000,65000,2319000,3669000,5988000,25000000,116.6,113,101.84,110.6366,115.3616,113.225,109.4,116.15,112.8866
0.203,,4914000,1140000,1267000,1600000,105000,5721000,20000,32000,11000,138000,72000,63000,2311000,3384000,5695000,25000000,116.6,113,101.84,110.6366,115.3616,113.225,109.4,116.2616,112.8866
0.402,,4914000,1162000,1131000,1270000,105000,5721000,10000,32000,4000,233000,68000,63000,2341000,6360000,8701000,25000000,116.6,113,101.84,110.6366,115.3616,113.225,109.4,116.2616,112.8866
0.602,,4914000,935000,1227000,960000,188000,5749000,20000,32000,4000,233000,72000,63000,2329000,7707000,10036000,25000000,116.6,113,101.84,110.6366,115.3616,113.225,109.4,116.2616,112.8866
0.802,,4926000,792000,1267000,1420000,105000,5749000,10000,32000,11000,233000,77000,63000,2299000,6209000,8508000,25000000,116.6,112.55,101.84,110.6366,115.3616,113.225,109.4,116.2616,112.8866
1.003,,4926000,751000,1339000,1260000,105000,5749000,20000,32000,4000,210000,68000,63000,2296000,9018000,11314000,25000000,116.6,112.55,101.84,110.6366,115.3616,113.225,109.4,116.2616,112.8866
1.203,,5219000,731000,1339000,1160000,105000,6019000,20000,32000,11000,210000,72000,63000,2360000,6795000,9155000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,112.8866
1.404,,5219000,757000,1348000,1820000,105000,6019000,20000,32000,11000,210000,72000,63000,2363000,6857000,9220000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,112.8866
1.604,,5219000,833000,1219000,1391000,775000,6019000,20000,11000,4000,219000,72000,63000,2290000,8512000,10802000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,112.8866
1.802,,5304000,955000,1243000,887000,3453000,6072000,20000,14000,11000,219000,77000,63000,2202000,3081000,5283000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,112.8866
2.003,,5304000,1118000,1971000,920000,350000,6072000,30000,11000,11000,219000,72000,65000,2355000,8164000,10519000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,112.8866
2.203,,5304000,1176000,1259000,980000,6175000,6072000,30000,14000,11000,273000,72000,65000,2157000,3639000,5796000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
2.403,,5261000,887000,1330000,840000,5220000,6063000,20000,11000,11000,273000,68000,65000,2228000,3226000,5454000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
2.603,,5261000,1118000,1243000,1100000,2313000,6063000,20000,11000,11000,273000,68000,63000,2218000,3561000,5779000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
2.803,,5261000,985000,1235000,1064000,1550000,6063000,30000,14000,11000,216000,68000,65000,2209000,3213000,5422000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
3.003,,5185000,833000,2209000,1000000,105000,6046000,20000,640000,4000,216000,83000,63000,2341000,7289000,9630000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
3.203,,5185000,1162000,2138000,717000,105000,6046000,10000,32000,7000,216000,74000,65000,2236000,3537000,5773000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,113
3.402,,5185000,1073000,1324000,813000,105000,6046000,10000,32000,11000,208000,68000,63000,2165000,8617000,10782000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,113
3.603,,4984000,1353000,1219000,726000,105000,5891000,10000,32000,4000,208000,79000,65000,2176000,3156000,5332000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,113
3.803,,4984000,1162000,1267000,860000,105000,5891000,0,11000,11000,208000,72000,63000,2183000,3481000,5664000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,113
4.003,,4984000,833000,2407000,940000,3392000,5891000,20000,11000,11000,205000,68000,65000,2156000,3635000,5791000,25000000,116.6,112.55,101.84,110.6366,115.475,113.225,109.4,116.2616,113
4.203,,5222000,1309000,1315000,691000,5154000,5995000,30000,11000,11000,205000,65000,63000,2183000,3331000,5514000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
4.403,,5222000,1309000,1315000,1200000,5525000,5995000,20000,11000,11000,205000,72000,65000,2201000,3112000,5313000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
4.602,,5222000,867000,1267000,920000,5667000,5995000,20000,653000,0,224000,72000,65000,2195000,2781000,4976000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
4.803,,5243000,935000,1124000,813000,105000,6048000,10000,32000,11000,224000,68000,65000,2221000,3149000,5370000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
5.003,,5243000,874000,1520000,985000,2307000,6048000,10000,32000,7000,218000,68000,63000,2299000,5397000,7696000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
5.203,,5243000,907000,1330000,717000,105000,5997000,20000,32000,4000,218000,68000,65000,2254000,3083000,5337000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
5.403,,5191000,874000,1578000,1340000,105000,5997000,20000,14000,11000,218000,65000,63000,2273000,2888000,5161000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
5.603,,5191000,907000,1473000,569000,105000,5997000,30000,11000,11000,217000,65000,65000,2280000,2766000,5046000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
5.803,,5130000,914000,1315000,665000,105000,5944000,20000,32000,11000,217000,68000,63000,2217000,2686000,4903000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
6.002,,5130000,928000,1924000,670000,105000,5944000,20000,32000,11000,217000,70000,65000,2191000,3137000,5328000,25000000,116.6,112.55,102.02,110.6366,115.475,113.225,109.4,116.2616,113
6.203,,5130000,874000,2043000,840000,105000,5944000,20000,32000,11000,216000,65000,63000,2150000,3173000,5323000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
6.403,,5164000,1353000,1315000,706000,105000,5948000,20000,32000,11000,216000,68000,65000,2201000,3414000,5615000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
6.603,,5164000,1056000,1219000,928000,105000,5948000,30000,11000,11000,216000,68000,63000,2246000,2854000,5100000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
6.803,,5164000,853000,1219000,625000,105000,5948000,30000,11000,11000,231000,68000,65000,2278000,2814000,5092000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
7.003,,5197000,874000,2114000,920000,880000,5984000,20000,11000,11000,231000,70000,65000,2304000,4245000,6549000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
7.204,,5197000,1028000,2399000,625000,105000,5984000,30000,14000,11000,231000,65000,65000,2278000,3051000,5329000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
7.403,,5197000,798000,1348000,560000,105000,5984000,20000,11000,11000,227000,65000,63000,2374000,2600000,4974000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
7.602,,5155000,833000,1315000,625000,105000,5997000,30000,14000,11000,227000,65000,63000,2316000,3029000,5345000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
7.802,,5155000,737000,1315000,1008000,105000,5997000,30000,11000,11000,227000,70000,65000,2306000,3353000,5659000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
8.003,,5155000,867000,2359000,940000,105000,5997000,30000,11000,11000,277000,65000,63000,2316000,3837000,6153000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.4,116.2616,113
8.203,,4929000,737000,1339000,960000,105000,5922000,20000,14000,11000,277000,65000,63000,2247000,3579000,5826000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
8.403,,4929000,737000,1315000,660000,105000,5922000,30000,14000,11000,277000,65000,63000,2238000,3803000,6041000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
8.603,,4929000,798000,1781000,630000,105000,5922000,30000,11000,11000,228000,68000,63000,2326000,2956000,5282000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
8.803,,5127000,757000,1568000,813000,105000,5844000,20000,11000,11000,228000,65000,63000,2221000,3228000,5449000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
9.003,,5127000,833000,1758000,593000,105000,5844000,30000,11000,11000,228000,68000,65000,2261000,4009000,6270000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
9.202,,5127000,798000,1362000,1440000,105000,5844000,30000,11000,11000,225000,70000,63000,2262000,5493000,7755000,25000000,116.6,112.1,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
9.402,,5173000,798000,1204000,1260000,105000,5971000,20000,76000,7000,225000,70000,63000,2268000,5383000,7651000,25000000,116.6,112.1,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
9.603,,5173000,737000,1204000,1560000,105000,5971000,30000,11000,11000,225000,68000,63000,2280000,5372000,7652000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
9.803,,5173000,757000,1267000,1120000,105000,5971000,30000,11000,11000,198000,72000,63000,2262000,4778000,7040000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
10.003,,5161000,813000,1639000,630000,105000,5939000,30000,11000,11000,198000,65000,63000,2270000,3929000,6199000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
10.203,,5161000,751000,1339000,1340000,105000,5939000,20000,76000,4000,204000,77000,63000,2281000,9048000,11329000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
10.403,,5124000,737000,1267000,1460000,230000,5929000,20000,32000,11000,204000,72000,63000,2310000,8377000,10687000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
10.603,,5124000,792000,1267000,1120000,1924000,5929000,20000,30000,11000,204000,72000,65000,2109000,5678000,7787000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
10.802,,5124000,853000,1243000,1680000,3210000,5929000,10000,32000,11000,210000,72000,63000,2106000,3343000,5449000,25000000,116.6,112.1,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
11.003,,5130000,874000,1496000,589000,105000,5946000,30000,14000,11000,210000,68000,63000,2138000,4947000,7085000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113.1116
11.203,,5130000,853000,1411000,942000,1658000,5946000,30000,11000,11000,210000,72000,63000,2142000,6858000,9000000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
11.403,,5130000,874000,1243000,1160000,3255000,5946000,20000,14000,11000,257000,72000,63000,2167000,2932000,5099000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
11.604,,5170000,914000,1411000,820000,1508000,5966000,20000,11000,11000,257000,68000,63000,2181000,2997000,5178000,25000000,116.6,112.1,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
11.803,,5170000,914000,1243000,766000,2330000,5966000,30000,11000,11000,257000,72000,63000,2202000,2924000,5126000,25000000,116.6,112.55,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
12.004,,5170000,874000,1663000,700000,105000,5966000,30000,11000,11000,202000,68000,65000,2204000,5067000,7271000,25000000,116.6,112.1,102.02,110.6366,115.475,113.3366,109.2866,116.2616,113
12.204,,5167000,874000,1853000,766000,2330000,5995000,20000,11000,11000,202000,68000,63000,2214000,3097000,5311000,25000000,116.6,112.1,102.02,110.6366,115.475,113.3366,109.2866,116.15,113.1116
