time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.005,,5456000,1129000,1267000,860000,104000,6254000,79000,30000,11000,133000,83000,65000,2279000,8405000,10684000,25000000,111.2,106.7,76.64,104.7866,109.9616,108.275,102.65,110.1866,107.375
0.203,,5456000,867000,2043000,920000,105000,6094000,20000,76000,11000,133000,72000,65000,2262000,3825000,6087000,25000000,111.2,106.7,76.64,104.9,110.075,108.3866,102.7616,110.1866,107.4866
0.403,,5258000,928000,1354000,673000,105000,6094000,20000,30000,11000,221000,68000,63000,2275000,3538000,5813000,25000000,111.2,106.7,76.64,104.9,110.075,108.3866,102.7616,110.1866,107.4866
0.604,,5258000,928000,1663000,614000,105000,6094000,20000,30000,11000,221000,68000,63000,2232000,3448000,5680000,25000000,111.2,106.7,76.64,104.9,110.075,108.3866,102.7616,110.1866,107.4866
0.804,,5258000,928000,1315000,691000,105000,5882000,20000,30000,11000,221000,74000,63000,2248000,3141000,5389000,25000000,111.2,106.7,76.64,104.9,110.075,108.3866,102.7616,110.1866,107.4866
1.003,,5060000,813000,1411000,744000,105000,5882000,30000,14000,11000,276000,68000,63000,2403000,3582000,5985000,25000000,111.2,106.7,76.64,104.9,110.075,108.3866,102.7616,110.1866,107.4866
1.204,,5060000,717000,1924000,928000,105000,5882000,20000,14000,11000,276000,68000,63000,2336000,3896000,6232000,25000000,111.2,106.7,76.64,105.0116,110.1866,108.5,102.7616,110.4116,107.6
1.404,,5060000,833000,1520000,610000,105000,5579000,30000,14000,11000,276000,68000,63000,2234000,3756000,5990000,25000000,111.2,106.7,76.64,105.0116,110.1866,108.5,102.7616,110.4116,107.6
1.603,,4853000,813000,1639000,803000,105000,5579000,20000,14000,11000,301000,68000,63000,2389000,4766000,7155000,25000000,111.2,106.7,76.64,105.0116,110.1866,108.5,102.7616,110.4116,107.6
1.804,,4853000,757000,1924000,968000,105000,5579000,20000,14000,11000,301000,68000,63000,2383000,4431000,6814000,25000000,111.2,106.7,76.64,105.0116,110.1866,108.5,102.7616,110.4116,107.6
2.003,,4853000,717000,1900000,1178000,105000,5782000,20000,14000,11000,301000,68000,63000,2276000,3699000,5975000,25000000,111.2,106.7,76.64,105.0116,110.1866,108.5,102.7616,110.4116,107.6
2.204,,5045000,737000,2233000,680000,105000,5782000,20000,14000,14000,282000,68000,63000,2316000,4340000,6656000,25000000,111.2,106.7,76.64,105.125,110.3,108.725,102.875,110.525,107.7116
2.404,,5045000,757000,1900000,691000,105000,5782000,30000,14000,11000,282000,68000,63000,2284000,3895000,6179000,25000000,111.2,106.7,76.64,105.125,110.3,108.725,102.875,110.525,107.7116
2.604,,5045000,717000,1663000,669000,105000,5585000,20000,14000,11000,282000,68000,63000,2205000,5351000,7556000,25000000,111.2,106.7,76.64,105.125,110.3,108.725,102.875,110.525,107.7116
2.804,,5066000,731000,1496000,766000,105000,5585000,30000,14000,11000,257000,68000,63000,2178000,4046000,6224000,25000000,111.2,106.7,76.64,105.125,110.3,108.725,102.875,110.525,107.7116
3.004,,5066000,792000,1387000,625000,105000,5585000,30000,11000,11000,257000,68000,63000,2197000,3783000,5980000,25000000,111.2,106.7,76.64,105.125,110.3,108.725,102.875,110.525,107.7116
3.204,,5066000,717000,1473000,1180000,105000,5811000,20000,76000,14000,257000,68000,63000,2272000,4047000,6319000,25000000,111.2,107.15,76.82,105.2366,110.525,108.8366,102.9866,110.525,107.825
3.403,,4862000,737000,1971000,1540000,105000,5811000,20000,30000,11000,196000,74000,63000,2293000,6781000,9074000,25000000,111.2,107.15,76.82,105.2366,110.525,108.8366,102.9866,110.525,107.825
3.603,,4862000,798000,2138000,1800000,105000,5811000,20000,30000,11000,196000,74000,63000,2327000,7154000,9481000,25000000,111.2,106.7,76.82,105.2366,110.525,108.8366,102.9866,110.525,107.825
3.804,,4862000,757000,1829000,1560000,105000,5820000,20000,30000,11000,196000,74000,65000,2237000,7111000,9348000,25000000,111.2,106.7,76.82,105.2366,110.525,108.8366,102.9866,110.525,107.825
4.004,,5072000,737000,1971000,1360000,105000,5820000,20000,76000,4000,233000,72000,63000,2348000,7266000,9614000,25000000,111.2,106.7,76.82,105.2366,110.525,108.8366,102.9866,110.525,107.825
4.204,,5072000,833000,2043000,1980000,1871000,5820000,59000,678000,4000,233000,79000,65000,2242000,9748000,11990000,25000000,111.2,107.15,76.82,105.35,110.6366,108.95,103.1,110.6366,107.9366
