time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,5478000,1050000,1267000,593000,105000,6411000,20000,11000,11000,106000,70000,72000,2541000,3688000,6229000,25000000,122,118.4,84.02,118.175,120.65,119.525,113.7866,122.1116,119.75
0.203,,5478000,813000,1107000,696000,105000,6411000,30000,14000,11000,106000,70000,72000,2519000,3031000,5550000,25000000,122,117.95,84.02,118.175,120.65,119.525,113.7866,122.1116,119.75
0.404,,5408000,792000,1107000,720000,105000,6331000,20000,11000,11000,106000,68000,72000,2591000,2908000,5499000,25000000,122,117.95,84.02,118.175,120.65,119.525,113.7866,122.1116,119.75
0.604,,5408000,1073000,1179000,826000,105000,6331000,20000,14000,11000,159000,68000,72000,2560000,4076000,6636000,25000000,122,118.4,84.02,118.175,120.65,119.525,113.7866,122.1116,119.75
0.804,,5408000,833000,1267000,665000,105000,6183000,30000,11000,11000,159000,70000,72000,2436000,2764000,5200000,25000000,122,118.4,84.02,118.175,120.65,119.525,113.7866,122.1116,119.75
1.004,,5383000,1184000,1196000,840000,105000,6183000,30000,11000,11000,159000,68000,72000,2472000,3633000,6105000,25000000,122,118.4,84.02,118.2866,120.7616,119.75,113.7866,122.3366,119.8616
1.204,,5383000,813000,1196000,749000,105000,6183000,20000,78000,4000,109000,72000,72000,2370000,2992000,5362000,25000000,122,118.4,84.02,118.2866,120.7616,119.75,113.7866,122.3366,119.8616
1.403,,5121000,792000,1219000,706000,105000,6026000,10000,35000,11000,109000,68000,72000,2344000,3340000,5684000,25000000,122,118.4,84.02,118.2866,120.7616,119.75,113.7866,122.3366,119.8616
1.603,,5121000,1154000,1315000,1380000,105000,6026000,20000,35000,11000,109000,68000,72000,2356000,4136000,6492000,25000000,122,118.4,84.02,118.2866,120.7616,119.75,113.7866,122.3366,119.8616
1.803,,5121000,874000,1219000,1097000,3047000,6026000,20000,35000,11000,124000,70000,72000,2210000,3140000,5350000,25000000,122,118.4,84.02,118.2866,120.7616,119.75,113.7866,122.3366,119.8616
2.003,,5142000,813000,1083000,1500000,105000,6012000,10000,35000,11000,124000,70000,72000,2271000,3984000,6255000,25000000,122,118.4,84.02,118.2866,120.875,119.8616,113.7866,122.45,119.975
2.204,,5142000,1110000,1083000,1440000,105000,6012000,10000,35000,11000,124000,70000,72000,2269000,4254000,6523000,25000000,122,118.4,84.02,118.2866,120.875,119.8616,113.7866,122.45,119.975
2.403,,5142000,757000,1179000,1200000,105000,6012000,20000,35000,11000,100000,68000,72000,2222000,3224000,5446000,25000000,122,118.4,84.02,118.2866,120.875,119.8616,113.7866,122.45,119.975
2.604,,5097000,792000,1251000,1060000,105000,6061000,30000,11000,11000,100000,70000,72000,2232000,3613000,5845000,25000000,122,118.4,84.02,118.2866,120.875,119.8616,113.7866,122.45,119.975
2.804,,5097000,1073000,1227000,1300000,105000,6061000,30000,11000,11000,100000,70000,72000,2215000,3648000,5863000,25000000,122,118.4,84.02,118.2866,120.875,119.8616,113.7866,122.45,119.975
3.004,,5097000,1043000,1171000,1100000,105000,6061000,20000,35000,11000,111000,68000,72000,2165000,3907000,6072000,25000000,122,118.4,84.02,118.2866,120.875,119.975,113.9,122.45,119.975
3.203,,5011000,874000,1171000,940000,2580000,5957000,20000,35000,11000,111000,70000,72000,2108000,7194000,9302000,25000000,122,118.4,84.02,118.2866,120.875,119.975,113.9,122.45,119.975
3.403,,5011000,792000,1204000,1680000,105000,5957000,20000,35000,7000,111000,68000,72000,2108000,6928000,9036000,25000000,122,118.4,84.02,118.2866,120.875,119.975,113.9,122.45,119.975
3.603,,5011000,853000,1107000,1200000,2313000,5957000,20000,35000,7000,114000,74000,72000,2146000,5578000,7724000,25000000,122,118.4,84.02,118.2866,120.875,119.975,113.9,122.45,119.975
3.804,,4956000,853000,1131000,1552000,3372000,5829000,20000,14000,11000,114000,74000,72000,2169000,5688000,7857000,25000000,122,118.4,84.02,118.2866,120.875,119.975,113.9,122.45,119.975
4.004,,4956000,853000,1227000,1100000,1726000,5829000,20000,14000,7000,102000,70000,72000,2135000,5479000,7614000,25000000,122,118.4,84.02,118.2866,120.875,120.0866,113.9,122.45,119.975
4.204,,4956000,1198000,1204000,512000,4728000,5829000,20000,14000,11000,102000,70000,72000,2124000,3447000,5571000,25000000,122,118.4,84.02,118.2866,120.875,120.0866,113.9,122.45,119.975
