wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
5341000,907000,1330000,1208000,105000,6059000,30000,14000,11000,248000,68000,63000,2435000,3675000,6110000,25000000,109.4,107.15,88.16,104.5616,109.5116,107.825,102.5366,109.9616,107.15
5386000,935000,1449000,1043000,105000,6059000,30000,11000,11000,225000,68000,63000,2467000,3860000,6327000,25000000,111.2,107.15,88.16,104.5616,109.5116,107.825,102.5366,109.9616,107.15
5386000,928000,1520000,863000,105000,6059000,30000,11000,11000,225000,68000,63000,2402000,3926000,6328000,25000000,111.2,107.15,88.16,104.5616,109.5116,107.825,102.5366,109.9616,107.15
5386000,874000,1330000,1048000,105000,6055000,20000,14000,11000,225000,68000,65000,2459000,3406000,5865000,25000000,111.2,107.15,88.16,104.675,109.7366,108.05,102.5366,110.1866,107.2616
5426000,907000,1306000,1208000,105000,6055000,30000,11000,11000,310000,68000,65000,2383000,4209000,6592000,25000000,111.2,107.15,88.16,104.675,109.7366,108.05,102.5366,110.1866,107.2616
5426000,874000,1568000,1360000,105000,6055000,20000,11000,11000,310000,68000,63000,2443000,3832000,6275000,25000000,111.2,107.15,88.16,104.675,109.7366,108.05,102.5366,110.1866,107.2616
5426000,914000,1506000,2197000,105000,6032000,20000,73000,7000,310000,77000,63000,2440000,3840000,6280000,25000000,111.2,107.15,88.16,104.675,109.7366,108.05,102.5366,110.1866,107.2616
5395000,955000,1315000,630000,105000,6032000,40000,11000,11000,303000,68000,63000,2398000,3807000,6205000,25000000,111.2,107.15,88.16,104.675,109.7366,108.05,102.5366,110.1866,107.2616
5395000,873000,1251000,737000,105000,6032000,20000,76000,7000,303000,72000,63000,2460000,3778000,6238000,25000000,111.2,107.6,88.16,104.7866,109.9616,108.1616,102.65,110.3,107.4866
5395000,798000,1449000,1109000,105000,5960000,20000,30000,11000,303000,72000,63000,2387000,6999000,9386000,25000000,111.2,107.6,88.16,104.7866,109.9616,108.1616,102.65,110.3,107.4866
5374000,819000,1458000,1774000,105000,5960000,20000,30000,11000,288000,72000,63000,2384000,5428000,7812000,25000000,111.2,107.6,88.16,104.7866,109.9616,108.1616,102.65,110.3,107.4866
5374000,880000,1330000,1720000,105000,5960000,10000,30000,7000,288000,72000,63000,2407000,7608000,10015000,25000000,111.2,107.6,88.16,104.7866,109.9616,108.1616,102.65,110.3,107.4866
5374000,914000,1829000,1935000,3398000,5950000,20000,14000,11000,288000,74000,63000,2383000,8848000,11231000,25000000,111.2,107.6,88.16,104.7866,109.9616,108.1616,102.65,110.3,107.4866
5362000,914000,1568000,1109000,3372000,5950000,139000,76000,4000,276000,79000,63000,2365000,6551000,8916000,25000000,111.2,107.6,88.34,104.9,110.1866,108.3866,102.7616,110.525,107.7116
5362000,874000,1362000,1451000,3291000,5950000,10000,30000,11000,276000,74000,65000,2368000,9213000,11581000,25000000,111.2,107.6,88.34,104.9,110.1866,108.3866,102.7616,110.525,107.7116
5362000,819000,1315000,1512000,2927000,6101000,20000,30000,11000,276000,72000,65000,2354000,9277000,11631000,25000000,111.2,107.6,88.34,104.9,110.1866,108.3866,102.7616,110.525,107.7116
5255000,921000,1306000,1008000,3255000,6101000,10000,30000,11000,215000,74000,63000,2336000,8028000,10364000,25000000,111.2,107.6,88.34,104.9,110.1866,108.3866,102.7616,110.525,107.7116
5255000,833000,1315000,1471000,5525000,6121000,30000,11000,11000,215000,74000,65000,2310000,4679000,6989000,25000000,111.2,107.6,88.34,104.9,110.1866,108.3866,102.7616,110.525,107.7116
5255000,853000,1196000,968000,3316000,6121000,20000,11000,11000,215000,74000,65000,2323000,9921000,12244000,25000000,111.2,107.6,88.34,105.125,110.3,108.6116,102.875,110.6366,107.825
5417000,874000,1339000,1351000,5670000,6121000,30000,14000,11000,246000,77000,63000,2318000,4449000,6767000,25000000,111.2,107.6,88.34,105.125,110.3,108.6116,102.875,110.6366,107.825
