time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
5.004,,5417000,1273000,1362000,1774000,105000,6377000,464000,10000,38000,4000,70000,70000,2600000,4670000,7270000,25000000,127.4,125.15,97.88,120.3116,126.275,123.6866,118.5116,126.725,123.2366
5.204,,5417000,1243000,1781000,1391000,775000,6579000,322000,10000,38000,4000,70000,72000,2615000,5427000,8042000,25000000,127.4,125.15,97.88,120.3116,126.275,123.6866,118.5116,126.725,123.2366
5.403,,5392000,1353000,2233000,1048000,3036000,6579000,322000,10000,38000,4000,70000,70000,2501000,4137000,6638000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
5.604,,5392000,1442000,1900000,1229000,105000,6579000,322000,0,8000,4000,70000,72000,2557000,4350000,6907000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
5.803,,5392000,1309000,2090000,968000,105000,6596000,228000,0,8000,4000,70000,70000,2497000,3621000,6118000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
6.003,,5484000,1318000,1615000,2439000,105000,6596000,228000,0,8000,4000,70000,72000,2485000,3505000,5990000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
6.204,,5484000,1287000,1924000,1451000,105000,6596000,228000,0,8000,11000,70000,72000,2452000,4578000,7030000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
6.404,,5484000,1273000,1473000,1229000,105000,6674000,222000,0,8000,4000,70000,72000,2469000,4548000,7017000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
6.603,,5521000,1207000,1639000,1874000,105000,6674000,222000,0,8000,4000,70000,72000,2432000,4408000,6840000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
6.804,,5521000,1420000,1758000,1250000,105000,6674000,222000,10000,38000,4000,70000,70000,2465000,5847000,8312000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
7.003,,5521000,1273000,1530000,1351000,105000,6528000,208000,10000,38000,4000,70000,70000,2484000,5594000,8078000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
7.203,,5563000,1207000,1829000,1229000,105000,6528000,208000,10000,38000,4000,70000,70000,2492000,4913000,7405000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
7.403,,5563000,1050000,1900000,1512000,168000,6563000,208000,10000,38000,4000,72000,70000,2525000,6695000,9220000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
7.603,,5560000,1184000,2280000,1700000,105000,6563000,205000,0,8000,11000,72000,70000,2458000,8743000,11201000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
7.804,,5560000,1073000,1924000,1764000,105000,6563000,205000,0,8000,11000,72000,72000,2457000,8388000,10845000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
8.004,,5560000,1162000,1615000,1451000,104000,6641000,205000,0,8000,4000,72000,70000,2491000,4956000,7447000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
8.203,,5490000,1073000,1781000,1520000,147000,6641000,229000,0,8000,11000,70000,72000,2573000,4390000,6963000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
8.403,,5490000,1028000,1520000,1129000,983000,6641000,229000,0,8000,11000,72000,70000,2424000,5604000,8028000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
8.603,,5490000,1050000,1315000,1109000,1863000,6672000,229000,0,8000,4000,72000,70000,2568000,4481000,7049000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
8.803,,5505000,1028000,1710000,985000,105000,6672000,222000,0,8000,4000,70000,70000,2392000,5234000,7626000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
9.004,,5505000,1050000,1520000,1109000,105000,6672000,222000,0,8000,7000,72000,70000,2395000,6142000,8537000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
