time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.002,,5338000,1531000,1401000,731000,5626000,6161000,0,32000,4000,122000,74000,65000,2552000,3821000,6373000,25000000,123.8,120.2,90.14,116.825,121.8866,119.8616,113.9,122.9,119.75
0.203,,5338000,1296000,2090000,1451000,105000,6161000,0,32000,4000,256000,70000,68000,2600000,3867000,6467000,25000000,123.8,120.2,90.14,116.825,121.8866,119.8616,113.9,122.9,119.75
0.403,,5365000,1442000,1900000,1041000,4682000,6161000,0,32000,4000,256000,68000,68000,2624000,3796000,6420000,25000000,123.8,120.2,90.14,116.825,121.8866,119.8616,113.9,122.9,119.75
0.603,,5365000,1207000,2066000,1250000,105000,6023000,0,5000,11000,256000,68000,68000,2651000,3768000,6419000,25000000,123.8,120.65,90.14,116.825,121.8866,119.8616,113.9,122.9,119.75
0.802,,5444000,1363000,1449000,1471000,105000,6023000,0,5000,11000,248000,68000,68000,2731000,3707000,6438000,25000000,123.8,120.2,90.14,116.825,121.8866,119.8616,113.9,122.9,119.75
1.002,,5444000,1398000,1710000,1320000,105000,6023000,0,5000,7000,248000,68000,68000,2762000,3931000,6693000,25000000,123.8,120.2,90.14,116.825,121.8866,119.8616,113.9,122.9,119.75
1.202,,5444000,1487000,1544000,1820000,105000,6269000,0,5000,11000,248000,68000,68000,2782000,4178000,6960000,25000000,123.8,120.2,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
1.402,,5270000,1140000,1995000,1300000,105000,6269000,0,5000,7000,211000,68000,68000,2561000,4004000,6565000,25000000,123.8,120.2,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
1.602,,5270000,1251000,2043000,1331000,105000,6269000,0,5000,7000,211000,68000,68000,2677000,4128000,6805000,25000000,123.8,120.2,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
1.803,,5270000,1287000,1829000,1431000,105000,6285000,0,5000,11000,211000,68000,68000,2594000,3612000,6206000,25000000,123.8,120.65,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
2.003,,5380000,1207000,1496000,1310000,105000,6285000,0,5000,11000,226000,68000,68000,2530000,3747000,6277000,25000000,123.8,120.2,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
2.203,,5380000,1073000,2066000,1320000,105000,6285000,0,5000,4000,226000,70000,65000,2490000,3252000,5742000,25000000,123.8,120.2,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
2.402,,5380000,1118000,2256000,1048000,105000,6307000,10000,35000,4000,226000,68000,68000,2548000,6727000,9275000,25000000,123.8,120.2,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
2.602,,5399000,1118000,1639000,1371000,105000,6307000,0,32000,4000,257000,68000,68000,2499000,7416000,9915000,25000000,123.8,120.65,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
2.802,,5399000,1073000,1686000,1250000,105000,6307000,0,32000,4000,257000,68000,68000,2488000,3507000,5995000,25000000,123.8,120.65,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
3.002,,5399000,1118000,1686000,980000,105000,6283000,0,32000,4000,225000,70000,68000,2523000,7040000,9563000,25000000,123.8,120.65,90.14,116.7116,121.8866,119.8616,113.9,122.9,119.75
