time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
5.003,,5737000,1930000,1267000,968000,5505000,6307000,264000,0,5000,4000,70000,68000,2827000,5436000,8263000,25000000,116.6,117.95,75.2,108.8366,115.5866,113.5616,105.8,115.7,112.325
5.202,,5725000,2707000,1411000,1874000,105000,6307000,202000,0,5000,4000,70000,65000,2886000,4777000,7663000,25000000,116.6,117.95,75.2,108.8366,115.5866,113.5616,105.8,115.7,112.325
5.402,,5725000,2663000,1458000,1512000,105000,6307000,202000,0,5000,11000,70000,68000,2900000,5115000,8015000,25000000,116.6,117.95,75.2,109.0616,115.7,113.675,105.8,115.925,112.4366
5.602,,5725000,2352000,1330000,1600000,105000,6408000,191000,89000,76000,4000,74000,68000,2827000,4844000,7671000,25000000,116.6,117.95,75.2,109.0616,115.7,113.675,105.8,115.925,112.4366
5.802,,5755000,2530000,1330000,1229000,105000,6408000,191000,10000,76000,4000,74000,68000,2762000,5289000,8051000,25000000,116.6,117.95,75.2,109.0616,115.7,113.675,105.8,115.925,112.4366
6.002,,5755000,2041000,1758000,2060000,105000,6408000,191000,0,30000,4000,70000,68000,2727000,4881000,7608000,25000000,116.6,117.95,75.2,109.0616,115.7,113.675,105.8,115.925,112.4366
6.202,,5755000,2241000,1781000,1573000,105000,6499000,182000,0,30000,4000,70000,68000,2885000,5647000,8532000,25000000,116.6,117.95,75.2,109.0616,115.7,113.675,105.8,115.925,112.4366
6.402,,5737000,2241000,1315000,2137000,105000,6499000,182000,0,30000,4000,88000,68000,2867000,5496000,8363000,25000000,116.6,117.95,75.2,109.0616,115.8116,113.9,105.9116,116.0366,112.55
6.603,,5737000,1542000,1330000,2205000,105000,6499000,182000,10000,656000,0,88000,68000,2832000,5813000,8645000,25000000,116.6,118.4,75.2,109.0616,115.8116,113.9,105.9116,116.0366,112.55
6.803,,5737000,1531000,1686000,1242000,4483000,6519000,205000,10000,81000,0,79000,68000,2879000,5726000,8605000,25000000,116.6,118.4,75.2,109.0616,115.8116,113.9,105.9116,116.0366,112.55
7.002,,5630000,2263000,1473000,2098000,105000,6519000,205000,10000,81000,4000,74000,68000,2909000,5232000,8141000,25000000,116.6,118.4,75.2,109.0616,115.8116,113.9,105.9116,116.0366,112.55
7.202,,5630000,2374000,1496000,1969000,105000,6519000,205000,20000,659000,0,88000,68000,2813000,6240000,9053000,25000000,116.6,118.4,75.2,109.0616,115.8116,113.9,105.9116,116.0366,112.55
7.402,,5630000,1531000,1710000,1413000,105000,6499000,184000,10000,81000,0,88000,68000,2677000,5446000,8123000,25000000,116.6,118.4,75.2,109.175,116.0366,114.0116,106.025,116.15,112.6616
7.603,,5697000,1542000,1758000,1477000,105000,6499000,184000,10000,659000,0,88000,68000,2794000,6381000,9175000,25000000,116.6,118.85,75.2,109.175,116.0366,114.0116,106.025,116.15,112.6616
7.802,,5697000,2219000,1267000,1263000,104000,6499000,184000,0,35000,4000,70000,68000,2608000,7448000,10056000,25000000,116.6,118.4,75.2,109.175,116.0366,114.0116,106.025,116.15,112.6616
8.002,,5697000,2308000,1449000,1691000,105000,6470000,188000,0,32000,4000,70000,68000,2602000,8019000,10621000,25000000,116.6,118.4,75.2,109.175,116.0366,114.0116,106.025,116.15,112.6616
8.204,,5697000,1273000,1639000,1798000,105000,6470000,188000,10000,656000,0,74000,68000,2749000,6208000,8957000,25000000,116.6,118.4,75.2,109.175,116.0366,114.0116,106.025,116.15,112.6616
8.403,,5697000,1452000,1544000,2013000,105000,6470000,188000,0,32000,4000,70000,65000,2603000,5252000,7855000,25000000,116.6,118.4,75.38,109.2866,116.15,114.125,106.3616,116.2616,112.775
8.602,,5740000,1664000,1267000,1798000,105000,6440000,187000,0,32000,4000,70000,68000,2639000,6616000,9255000,25000000,116.6,118.4,75.38,109.2866,116.15,114.125,106.3616,116.2616,112.775
8.802,,5740000,2175000,1330000,1263000,105000,6440000,187000,0,32000,7000,70000,68000,2628000,6640000,9268000,25000000,116.6,118.4,75.38,109.2866,116.15,114.125,106.3616,116.2616,112.775
9.002,,5740000,2175000,1449000,1798000,105000,6440000,187000,0,464000,11000,70000,65000,2612000,5943000,8555000,25000000,116.6,118.4,75.38,109.2866,116.15,114.125,106.3616,116.2616,112.775
9.203,,5737000,1609000,1306000,1927000,105000,6417000,198000,0,5000,11000,70000,68000,2633000,6003000,8636000,25000000,116.6,118.4,75.38,109.2866,116.15,114.125,106.3616,116.2616,112.775
9.403,,5737000,1376000,1267000,1089000,105000,6417000,198000,20000,653000,4000,81000,68000,2672000,5855000,8527000,25000000,116.6,118.4,75.38,109.4,116.375,114.125,106.475,116.375,112.8866
9.604,,5737000,1287000,1378000,2119000,105000,6320000,198000,10000,78000,0,70000,65000,2677000,5877000,8554000,25000000,116.6,118.4,75.38,109.4,116.375,114.125,106.475,116.375,112.8866
9.803,,5704000,1309000,1267000,1477000,147000,6320000,247000,0,32000,4000,70000,68000,2690000,7002000,9692000,25000000,116.6,118.4,75.38,109.4,116.375,114.125,106.475,116.375,112.8866
