time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
5.004,,5737000,1363000,1924000,856000,475000,6625000,221000,0,5000,11000,70000,70000,2656000,10800000,13456000,25000000,123.8,126.05,91.4,116.825,123.2366,120.875,114.35,123.575,120.0866
5.203,,5737000,1376000,2090000,894000,105000,6625000,221000,0,8000,4000,70000,70000,2718000,10582000,13300000,25000000,123.8,126.05,91.4,116.825,123.2366,120.875,114.35,123.575,120.0866
5.404,,5752000,1430000,2518000,1048000,409000,6630000,224000,0,5000,4000,70000,70000,2698000,9301000,11999000,25000000,123.8,126.05,91.22,116.9366,123.35,120.9866,114.35,123.8,120.2
5.604,,5752000,1408000,1948000,906000,105000,6630000,224000,10000,643000,0,88000,70000,2708000,6355000,9063000,25000000,123.8,126.5,91.22,116.9366,123.35,120.9866,114.35,123.8,120.2
5.804,,5752000,1420000,2826000,927000,3050000,6605000,224000,0,35000,4000,70000,70000,2708000,10696000,13404000,25000000,125.6,126.5,91.22,116.9366,123.35,120.9866,114.35,123.8,120.2
6.003,,5710000,1452000,2209000,746000,5322000,6605000,223000,0,32000,4000,77000,70000,2681000,10633000,13314000,25000000,125.6,126.5,91.22,116.9366,123.35,120.9866,114.35,123.8,120.2
6.204,,5710000,1398000,1948000,1512000,2006000,6605000,223000,0,35000,4000,77000,70000,2716000,10667000,13383000,25000000,125.6,126.5,91.22,116.9366,123.35,120.9866,114.35,123.8,120.2
6.403,,5710000,1386000,1530000,1351000,105000,6468000,217000,0,32000,11000,70000,70000,2738000,5678000,8416000,25000000,125.6,126.5,91.22,116.9366,123.4616,121.1,114.35,123.9116,120.3116
6.603,,5694000,1731000,1900000,766000,4565000,6468000,217000,0,5000,7000,72000,70000,2734000,5501000,8235000,25000000,125.6,126.5,91.22,116.9366,123.4616,121.1,114.35,123.9116,120.3116
6.803,,5694000,1353000,2043000,1109000,2498000,6468000,217000,0,8000,4000,70000,70000,2802000,6258000,9060000,25000000,125.6,126.95,91.22,116.9366,123.4616,121.1,114.35,123.9116,120.3116
7.003,,5694000,1531000,2043000,1315000,2682000,6459000,219000,10000,81000,4000,74000,70000,2832000,6276000,9108000,25000000,125.6,126.95,91.22,116.9366,123.4616,121.1,114.35,123.9116,120.3116
7.203,,5707000,1509000,3159000,1463000,3132000,6459000,219000,10000,81000,4000,74000,70000,2821000,5037000,7858000,25000000,125.6,126.5,91.22,116.9366,123.4616,121.1,114.35,123.9116,120.3116
7.403,,5707000,1265000,1568000,751000,398000,6459000,219000,0,35000,4000,70000,70000,2789000,4357000,7146000,25000000,125.6,126.95,91.4,117.05,123.6866,121.2116,114.4616,124.1366,120.3116
7.603,,5707000,1598000,2660000,948000,5281000,6575000,259000,0,35000,4000,70000,70000,2921000,4584000,7505000,25000000,125.6,126.95,91.4,117.05,123.6866,121.2116,114.4616,124.1366,120.3116
7.803,,5752000,1753000,2423000,1841000,2518000,6575000,259000,0,35000,4000,88000,70000,2916000,6190000,9106000,25000000,125.6,126.95,91.4,117.05,123.6866,121.2116,114.4616,124.1366,120.3116
8.004,,5752000,1487000,2043000,1189000,5281000,6575000,259000,10000,651000,0,88000,70000,2796000,4519000,7315000,25000000,125.6,127.4,91.4,117.05,123.6866,121.2116,114.4616,124.1366,120.3116
8.202,,5752000,1686000,1853000,2269000,105000,6583000,314000,10000,651000,0,74000,70000,2973000,5086000,8059000,25000000,125.6,127.4,91.4,117.05,123.6866,121.2116,114.4616,124.1366,120.3116
8.402,,5713000,1487000,2446000,1284000,105000,6583000,314000,10000,651000,4000,74000,70000,2741000,6410000,9151000,25000000,125.6,127.4,91.4,117.05,123.6866,121.2116,114.4616,124.1366,120.3116
8.602,,5713000,1598000,2351000,1691000,1361000,6583000,314000,10000,651000,0,88000,70000,2908000,5792000,8700000,25000000,125.6,127.4,91.22,117.1616,123.8,121.325,114.4616,124.25,120.425
8.802,,5713000,1753000,1698000,2076000,105000,6570000,207000,10000,653000,0,88000,70000,2847000,4613000,7460000,25000000,125.6,127.4,91.22,117.1616,123.8,121.325,114.4616,124.25,120.425
9.002,,5460000,1686000,1805000,2205000,105000,6570000,207000,10000,653000,0,74000,70000,2748000,4693000,7441000,25000000,125.6,127.85,91.22,117.1616,123.8,121.325,114.4616,124.25,120.425
9.203,,5460000,1664000,1900000,2483000,105000,6570000,207000,0,38000,4000,70000,70000,2795000,6100000,8895000,25000000,125.6,127.85,91.22,117.1616,123.8,121.325,114.4616,124.25,120.425
9.403,,5460000,2285000,1781000,1520000,105000,6550000,219000,0,35000,4000,70000,70000,2799000,4559000,7358000,25000000,125.6,127.85,91.22,117.1616,123.8,121.325,114.4616,124.25,120.425
9.602,,5627000,1318000,1721000,2295000,105000,6550000,219000,0,35000,4000,70000,70000,2809000,4704000,7513000,25000000,125.6,127.4,91.22,117.1616,123.9116,121.4366,114.6866,124.3616,120.5366
9.803,,5627000,1265000,2066000,2312000,105000,6550000,219000,0,8000,11000,70000,70000,2780000,6130000,8910000,25000000,125.6,127.4,91.22,117.1616,123.9116,121.4366,114.6866,124.3616,120.5366
10.002,,5652000,1442000,1721000,2247000,105000,6523000,215000,0,8000,4000,70000,70000,2818000,6631000,9449000,25000000,125.6,127.4,91.22,117.1616,123.9116,121.4366,114.6866,124.3616,120.5366
10.202,,5652000,1251000,1496000,1509000,105000,6523000,215000,0,5000,11000,70000,70000,2682000,6294000,8976000,25000000,125.6,127.4,91.22,117.1616,123.9116,121.4366,114.6866,124.3616,120.5366
10.402,,5652000,2263000,1971000,1734000,105000,6495000,215000,0,5000,11000,70000,70000,2835000,6148000,8983000,25000000,125.6,127.4,91.22,117.1616,123.9116,121.4366,114.6866,124.3616,120.5366
10.602,,5676000,1353000,1924000,1948000,105000,6495000,232000,0,5000,4000,70000,70000,2820000,5455000,8275000,25000000,125.6,127.4,91.22,117.275,124.025,121.55,114.9116,124.3616,120.5366
10.803,,5676000,1296000,2256000,2061000,105000,6495000,232000,10000,651000,0,88000,70000,2766000,5121000,7887000,25000000,125.6,127.4,91.22,117.275,124.025,121.55,114.9116,124.3616,120.5366
11.002,,5676000,1265000,1698000,1318000,105000,6429000,232000,0,35000,4000,70000,70000,2739000,6090000,8829000,25000000,125.6,127.4,91.22,117.275,124.025,121.55,114.9116,124.3616,120.5366
11.202,,5679000,1251000,1853000,1819000,105000,6429000,236000,0,35000,4000,70000,70000,2719000,5666000,8385000,25000000,125.6,127.4,91.22,117.275,124.025,121.55,114.9116,124.3616,120.5366
11.403,,5679000,2418000,1758000,1849000,105000,6429000,236000,0,35000,4000,70000,70000,2797000,6081000,8878000,25000000,125.6,127.85,91.22,117.275,124.025,121.55,114.9116,124.3616,120.5366
11.603,,5679000,1309000,1924000,1306000,105000,6402000,236000,0,35000,0,70000,70000,2623000,9505000,12128000,25000000,125.6,127.4,91.22,117.3866,124.1366,121.55,114.9116,124.3616,120.5366
11.802,,5646000,1398000,1781000,1349000,105000,6402000,202000,0,5000,11000,70000,70000,2679000,8882000,11561000,25000000,125.6,127.4,91.22,117.3866,124.1366,121.55,114.9116,124.3616,120.5366
12.002,,5646000,1273000,2233000,1520000,105000,6402000,202000,0,8000,7000,70000,70000,2656000,7763000,10419000,25000000,125.6,127.4,91.22,117.3866,124.1366,121.55,114.9116,124.3616,120.5366
12.202,,5646000,1273000,1686000,806000,105000,6566000,215000,0,35000,4000,70000,70000,2686000,7223000,9909000,25000000,125.6,127.4,91.22,117.3866,124.1366,121.55,114.9116,124.3616,120.5366
12.403,,5633000,2241000,1948000,751000,105000,6566000,215000,0,35000,4000,70000,70000,2687000,7888000,10575000,25000000,125.6,127.4,91.22,117.3866,124.1366,121.55,114.9116,124.3616,120.5366
12.602,,5633000,1296000,2090000,1078000,105000,6566000,215000,0,35000,4000,70000,70000,2534000,5370000,7904000,25000000,125.6,127.4,91.22,117.3866,124.3616,121.6616,114.9116,124.475,120.65
12.803,,5633000,1207000,1829000,772000,105000,6561000,209000,0,35000,4000,70000,70000,2488000,6710000,9198000,25000000,125.6,126.95,91.22,117.3866,124.3616,121.6616,114.9116,124.475,120.65
13.003,,5627000,1251000,1758000,833000,105000,6561000,209000,0,5000,7000,70000,70000,2482000,8090000,10572000,25000000,125.6,127.4,91.22,117.3866,124.3616,121.6616,114.9116,124.475,120.65
13.203,,5627000,1376000,2209000,921000,105000,6561000,209000,0,5000,11000,70000,68000,2488000,9886000,12374000,25000000,125.6,127.4,91.22,117.3866,124.3616,121.6616,114.9116,124.475,120.65
13.403,,5627000,2285000,2138000,1109000,105000,6568000,222000,0,5000,7000,70000,70000,2539000,5475000,8014000,25000000,125.6,127.4,91.22,117.3866,124.3616,121.6616,114.9116,124.475,120.65
13.602,,5557000,1420000,2304000,751000,105000,6568000,222000,0,5000,4000,70000,70000,2521000,9645000,12166000,25000000,125.6,127.4,91.22,117.5,124.25,121.6616,114.9116,124.5866,120.65
13.803,,5557000,1408000,2233000,1777000,105000,6568000,222000,0,5000,4000,70000,70000,2585000,8197000,10782000,25000000,125.6,126.95,91.22,117.5,124.25,121.6616,114.9116,124.5866,120.65
