time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,5499000,1309000,2114000,1371000,105000,6499000,10000,662000,0,205000,86000,68000,2595000,4218000,6813000,25000000,125.6,122,92.3,117.95,123.2366,121.2116,115.25,124.5866,121.2116
0.204,,5499000,1398000,1805000,1895000,105000,6579000,0,35000,7000,205000,68000,68000,2568000,4170000,6738000,25000000,125.6,122,92.3,117.95,123.2366,121.2116,115.25,124.5866,121.2116
0.403,,5499000,1420000,2161000,1270000,105000,6579000,0,35000,0,264000,86000,68000,2655000,4183000,6838000,25000000,125.6,122.45,92.3,117.95,123.2366,121.2116,115.25,124.5866,121.2116
0.604,,5487000,1353000,1615000,1391000,105000,6579000,0,35000,11000,264000,68000,68000,2573000,4438000,7011000,25000000,125.6,122.45,92.3,117.95,123.2366,121.2116,115.25,124.5866,121.2116
0.804,,5487000,1118000,1378000,2096000,105000,6621000,0,35000,4000,264000,68000,68000,2656000,5098000,7754000,25000000,125.6,122,92.3,117.95,123.125,121.1,115.25,124.475,121.1
1.003,,5487000,1273000,1829000,1884000,105000,6621000,0,35000,7000,293000,68000,68000,2497000,5484000,7981000,25000000,125.6,122,92.3,117.95,123.125,121.1,115.25,124.475,121.1
1.203,,5435000,1184000,1259000,1562000,105000,6621000,0,35000,11000,293000,68000,68000,2487000,4763000,7250000,25000000,125.6,122,92.3,117.95,123.125,121.1,115.25,124.475,121.1
1.403,,5435000,1118000,1615000,1512000,105000,6590000,0,8000,4000,293000,68000,68000,2441000,6960000,9401000,25000000,125.6,122.45,92.3,117.95,123.125,121.1,115.25,124.475,121.1
1.604,,5435000,1050000,1554000,1492000,105000,6590000,0,5000,11000,295000,68000,68000,2482000,4133000,6615000,25000000,125.6,122.45,92.3,117.95,123.125,121.1,115.25,124.475,121.1
1.804,,5420000,1176000,1971000,1089000,105000,6590000,0,5000,7000,295000,68000,68000,2472000,6883000,9355000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.25,124.3616,121.1
2.004,,5420000,1073000,1995000,1089000,105000,6486000,0,8000,11000,295000,68000,68000,2524000,6798000,9322000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.25,124.3616,121.1
2.204,,5420000,1118000,1568000,1129000,105000,6486000,0,5000,11000,291000,70000,68000,2520000,10227000,12747000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.25,124.3616,121.1
2.404,,5286000,1184000,1615000,751000,105000,6486000,0,5000,11000,291000,68000,68000,2515000,4850000,7365000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.25,124.3616,121.1
2.605,,5286000,1073000,1710000,1156000,147000,6493000,0,5000,11000,291000,74000,68000,2514000,6769000,9283000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.25,124.3616,121.1
2.804,,5286000,1073000,1853000,1049000,1167000,6493000,0,5000,4000,239000,70000,68000,2479000,4068000,6547000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.1366,124.3616,120.9866
3.003,,5508000,1207000,2138000,893000,880000,6575000,0,5000,4000,239000,70000,68000,2480000,4292000,6772000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.1366,124.3616,120.9866
3.204,,5508000,1118000,1900000,1068000,858000,6575000,0,5000,4000,239000,68000,68000,2511000,4711000,7222000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.1366,124.3616,120.9866
3.404,,5508000,1028000,1615000,928000,1597000,6575000,0,5000,11000,239000,68000,68000,2495000,4265000,6760000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.1366,124.3616,120.9866
3.604,,5481000,1118000,1853000,1071000,838000,6563000,0,5000,4000,239000,70000,68000,2489000,4100000,6589000,25000000,125.6,122,92.3,117.8366,123.125,121.1,115.1366,124.3616,120.9866
3.804,,5481000,1110000,2233000,1471000,858000,6563000,0,5000,4000,239000,68000,68000,2505000,5092000,7597000,25000000,125.6,122,92.3,117.8366,123.125,120.9866,115.1366,124.25,120.9866
