wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
5155000,914000,1853000,948000,2324000,5811000,30000,14000,11000,323000,74000,63000,2445000,3568000,6013000,25000000,111.2,108.95,93.56,105.575,111.2,109.5116,103.55,111.425,108.5
5155000,1028000,2351000,1606000,5708000,5811000,30000,11000,11000,629000,77000,65000,2453000,3182000,5635000,25000000,111.2,108.95,93.56,105.575,111.2,109.5116,103.55,111.425,108.5
5155000,907000,1805000,1456000,4124000,5811000,20000,76000,11000,629000,77000,65000,2448000,3516000,5964000,25000000,111.2,108.95,93.56,105.575,111.2,109.5116,103.55,111.425,108.5
5176000,1442000,1315000,1113000,105000,5807000,20000,30000,11000,629000,68000,65000,2462000,3531000,5993000,25000000,111.2,108.95,93.56,105.8,111.3116,109.7366,103.6616,111.65,108.725
5176000,1056000,2233000,887000,105000,5807000,20000,30000,11000,509000,68000,65000,2465000,3770000,6235000,25000000,111.2,108.95,93.56,105.8,111.3116,109.7366,103.6616,111.65,108.725
5176000,1036000,2066000,826000,105000,5807000,10000,30000,11000,509000,68000,63000,2451000,3152000,5603000,25000000,111.2,108.5,93.56,105.8,111.3116,109.7366,103.6616,111.65,108.725
4972000,948000,2256000,847000,105000,5599000,20000,11000,11000,509000,68000,65000,2425000,3629000,6054000,25000000,111.2,108.5,93.56,105.8,111.3116,109.7366,103.6616,111.65,108.725
4972000,907000,1315000,1129000,105000,5599000,30000,11000,11000,444000,74000,65000,2402000,2872000,5274000,25000000,111.2,108.95,93.56,105.8,111.3116,109.7366,103.6616,111.65,108.725
4972000,853000,1758000,987000,105000,5769000,30000,11000,4000,444000,72000,65000,2408000,3576000,5984000,25000000,111.2,108.95,93.56,105.9116,111.5366,109.85,103.6616,111.7616,108.8366
5121000,1273000,2589000,985000,105000,5769000,40000,11000,11000,444000,72000,65000,2456000,3921000,6377000,25000000,111.2,108.95,93.56,105.9116,111.5366,109.85,103.6616,111.7616,108.8366
5121000,914000,2090000,948000,105000,5769000,30000,11000,11000,439000,72000,65000,2564000,3136000,5700000,25000000,111.2,108.95,93.56,105.9116,111.5366,109.85,103.6616,111.7616,108.8366
5121000,968000,2643000,1199000,105000,5546000,30000,14000,11000,439000,70000,63000,2448000,3242000,5690000,25000000,113,108.95,93.56,105.9116,111.5366,109.85,103.6616,111.7616,108.8366
4914000,1048000,2304000,1100000,314000,5546000,30000,11000,7000,411000,72000,65000,2410000,3311000,5721000,25000000,113,108.95,93.56,105.9116,111.5366,109.85,103.6616,111.7616,108.8366
4914000,874000,2423000,635000,105000,5546000,30000,11000,11000,411000,74000,65000,2483000,7468000,9951000,25000000,113,108.95,93.56,106.025,111.875,110.075,103.8866,111.9866,108.95
4914000,914000,2147000,625000,105000,5771000,20000,11000,11000,411000,72000,65000,2548000,6773000,9321000,25000000,113,108.95,93.56,106.025,111.875,110.075,103.8866,111.9866,108.95
5151000,1207000,2161000,635000,105000,5771000,30000,14000,11000,224000,72000,65000,2560000,3866000,6426000,25000000,113,108.95,93.56,106.025,111.875,110.075,103.8866,111.9866,108.95
5151000,914000,2494000,733000,105000,5771000,20000,659000,4000,224000,86000,65000,2576000,3697000,6273000,25000000,113,108.95,93.56,106.025,111.875,110.075,103.8866,111.9866,108.95
