wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
5112000,935000,1995000,739000,4503000,5758000,30000,11000,11000,113000,72000,63000,2563000,4398000,6961000,25000000,109.4,106.25,90.5,104,108.8366,107.0366,102.65,109.2866,106.475
4901000,874000,1330000,1275000,105000,5758000,20000,14000,11000,221000,72000,63000,2513000,4129000,6642000,25000000,109.4,106.7,90.5,104.225,109.175,107.375,102.7616,109.625,106.8116
4901000,907000,1473000,717000,4749000,5771000,30000,14000,7000,221000,70000,65000,2583000,4454000,7037000,25000000,109.4,106.7,90.5,104.225,109.175,107.375,102.7616,109.625,106.8116
4901000,1138000,1330000,1056000,2231000,5771000,20000,11000,11000,221000,81000,63000,2497000,4440000,6937000,25000000,109.4,106.7,90.5,104.225,109.175,107.375,102.7616,109.625,106.8116
5115000,907000,2423000,1151000,105000,5771000,20000,11000,11000,269000,68000,63000,2547000,3988000,6535000,25000000,109.4,106.7,90.5,104.225,109.175,107.375,102.7616,109.625,106.8116
5115000,1028000,2501000,955000,105000,5539000,20000,11000,11000,269000,68000,63000,2478000,5908000,8386000,25000000,109.4,107.15,90.5,104.225,109.175,107.375,102.7616,109.625,106.8116
5115000,1076000,1900000,1008000,105000,5539000,20000,14000,11000,269000,72000,65000,2451000,4807000,7258000,25000000,109.4,106.7,90.5,104.3366,109.4,107.6,102.875,109.7366,107.0366
4901000,833000,2090000,1229000,105000,5539000,20000,11000,11000,299000,72000,63000,2533000,7877000,10410000,25000000,109.4,106.7,90.5,104.3366,109.4,107.6,102.875,109.7366,107.0366
4901000,907000,1354000,1008000,105000,5776000,20000,73000,11000,299000,72000,63000,2488000,5198000,7686000,25000000,109.4,107.15,90.5,104.3366,109.4,107.6,102.875,109.7366,107.0366
4901000,1028000,2218000,625000,105000,5776000,30000,11000,11000,299000,72000,63000,2424000,4969000,7393000,25000000,109.4,107.15,90.5,104.3366,109.4,107.6,102.875,109.7366,107.0366
5100000,853000,1829000,1169000,105000,5776000,40000,11000,11000,300000,70000,63000,2490000,4335000,6825000,25000000,109.4,106.7,90.5,104.3366,109.4,107.6,102.875,109.7366,107.0366
5100000,839000,1829000,1048000,1485000,5544000,40000,11000,11000,300000,72000,63000,2392000,9913000,12305000,25000000,111.2,107.15,90.5,104.45,109.7366,107.9366,102.875,110.075,107.15
5100000,798000,2731000,1552000,105000,5544000,30000,8000,11000,300000,70000,63000,2485000,8103000,10588000,25000000,111.2,107.15,90.5,104.45,109.7366,107.9366,102.875,110.075,107.15
5118000,874000,1520000,968000,105000,5763000,30000,14000,11000,289000,72000,63000,2379000,7537000,9916000,25000000,111.2,107.15,90.5,104.45,109.7366,107.9366,102.875,110.075,107.15
5118000,1005000,2114000,1734000,3275000,5763000,30000,14000,11000,289000,72000,63000,2408000,8181000,10589000,25000000,111.2,107.15,90.5,104.45,109.7366,107.9366,102.875,110.075,107.15
4914000,833000,1615000,1331000,3418000,5763000,20000,76000,4000,289000,77000,63000,2366000,10031000,12397000,25000000,111.2,107.6,90.5,104.45,109.7366,107.9366,102.875,110.075,107.15
4914000,853000,2066000,1593000,1835000,5546000,20000,30000,7000,213000,72000,63000,2401000,9744000,12145000,25000000,111.2,107.6,90.5,104.675,109.9616,108.1616,102.9866,110.3,107.375
4914000,914000,2161000,1512000,3357000,5546000,20000,30000,11000,213000,74000,65000,2346000,7772000,10118000,25000000,111.2,107.6,90.5,104.675,109.9616,108.1616,102.9866,110.3,107.375
5100000,874000,1758000,1351000,105000,5546000,20000,30000,11000,233000,70000,65000,2356000,7313000,9669000,25000000,111.2,107.6,90.5,104.675,109.9616,108.1616,102.9866,110.3,107.375
5100000,833000,2375000,1431000,5708000,5749000,20000,30000,7000,233000,79000,65000,2336000,6511000,8847000,25000000,111.2,107.6,90.5,104.675,109.9616,108.1616,102.9866,110.3,107.375
5100000,853000,2518000,1431000,3331000,5749000,30000,11000,11000,233000,74000,65000,2385000,9739000,12124000,25000000,111.2,108.05,90.5,104.675,109.9616,108.1616,102.9866,110.3,107.375
4907000,874000,2589000,1541000,3331000,5749000,30000,14000,11000,250000,81000,63000,2382000,8300000,10682000,25000000,111.2,108.05,90.5,104.7866,110.1866,108.3866,103.1,110.525,107.6
4907000,1116000,2066000,1209000,5260000,5760000,20000,11000,11000,250000,74000,65000,2427000,4373000,6800000,25000000,111.2,108.05,90.5,104.7866,110.1866,108.3866,103.1,110.525,107.6
4907000,853000,1615000,1209000,1871000,5760000,30000,14000,11000,250000,72000,63000,2405000,9507000,11912000,25000000,111.2,108.05,90.5,104.7866,110.1866,108.3866,103.1,110.525,107.6
5112000,874000,1900000,867000,4401000,5760000,30000,11000,7000,256000,68000,63000,2454000,3795000,6249000,25000000,111.2,108.05,90.5,104.7866,110.1866,108.3866,103.1,110.525,107.6
5112000,874000,1520000,1512000,105000,5548000,30000,11000,11000,256000,74000,65000,2414000,3861000,6275000,25000000,111.2,108.5,90.5,104.7866,110.1866,108.3866,103.1,110.525,107.6
5112000,1028000,1781000,968000,5261000,5548000,20000,11000,11000,256000,72000,65000,2357000,4585000,6942000,25000000,111.2,108.05,90.5,105.0116,110.525,108.6116,103.325,110.75,107.825
5011000,1028000,2090000,985000,5342000,5548000,20000,11000,11000,217000,72000,65000,2345000,5179000,7524000,25000000,111.2,108.05,90.5,105.0116,110.525,108.6116,103.325,110.75,107.825
5011000,1036000,1853000,1250000,5830000,5782000,20000,14000,7000,217000,72000,65000,2362000,4307000,6669000,25000000,111.2,108.5,90.5,105.0116,110.525,108.6116,103.325,110.75,107.825
5011000,1280000,1639000,987000,4266000,5782000,30000,11000,11000,217000,68000,65000,2401000,5458000,7859000,25000000,111.2,108.5,90.5,105.0116,110.525,108.6116,103.325,110.75,107.825
5011000,928000,1971000,1080000,2282000,5782000,30000,14000,11000,222000,68000,65000,2385000,5140000,7525000,25000000,111.2,108.5,90.5,105.0116,110.525,108.6116,103.325,110.75,107.825
5011000,955000,2280000,1189000,105000,5552000,20000,11000,11000,222000,68000,65000,2387000,4157000,6544000,25000000,111.2,108.5,90.5,105.125,110.6366,108.8366,103.325,110.975,108.05
5011000,955000,1639000,1134000,607000,5552000,30000,14000,11000,222000,68000,65000,2398000,3786000,6184000,25000000,111.2,108.05,90.5,105.125,110.6366,108.8366,103.325,110.975,108.05
