wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
5014000,1363000,1227000,771000,105000,5444000,30000,11000,11000,282000,68000,65000,2429000,7092000,9521000,25000000,114.8,110.75,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
5017000,1386000,1339000,927000,105000,5444000,30000,11000,11000,282000,72000,65000,2423000,3551000,5974000,25000000,114.8,111.2,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
5017000,874000,1339000,1359000,105000,5444000,20000,11000,11000,282000,70000,65000,2437000,2931000,5368000,25000000,114.8,111.2,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
5017000,874000,1179000,696000,105000,5647000,30000,11000,11000,230000,70000,65000,2425000,3507000,5932000,25000000,114.8,111.2,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
4816000,874000,1219000,948000,105000,5647000,30000,11000,11000,230000,68000,65000,2410000,7548000,9958000,25000000,114.8,111.2,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
4816000,1162000,1339000,744000,105000,5647000,178000,662000,4000,230000,92000,65000,2476000,3840000,6316000,25000000,114.8,110.75,92.3,108.05,113.7866,112.1,105.4616,114.125,111.2
4816000,1207000,1339000,992000,356000,5661000,20000,32000,11000,206000,74000,65000,2556000,3581000,6137000,25000000,114.8,111.2,92.3,108.05,113.7866,112.1,105.4616,114.125,111.2
5020000,874000,1348000,884000,4176000,5661000,10000,32000,11000,206000,70000,65000,2505000,3223000,5728000,25000000,114.8,111.65,92.3,108.05,113.7866,112.1,105.4616,114.125,111.2
5020000,874000,1267000,733000,436000,5661000,20000,32000,7000,206000,74000,65000,2496000,3388000,5884000,25000000,114.8,111.65,92.3,108.05,113.7866,112.1,105.4616,114.125,111.2
5020000,935000,1227000,1006000,775000,5442000,20000,30000,11000,244000,72000,65000,2567000,3315000,5882000,25000000,114.8,111.2,92.3,108.05,113.7866,112.1,105.4616,114.125,111.2
4819000,1118000,1330000,847000,503000,5442000,30000,14000,11000,244000,77000,65000,2516000,3265000,5781000,25000000,114.8,111.2,92.3,108.05,113.7866,112.1,105.4616,114.125,111.2
4819000,1251000,1348000,766000,105000,5442000,20000,14000,11000,244000,68000,65000,2523000,4743000,7266000,25000000,114.8,111.2,92.48,108.275,113.9,112.2116,105.575,114.2366,111.3116
4819000,935000,1315000,826000,105000,5678000,20000,14000,7000,250000,70000,65000,2497000,3800000,6297000,25000000,114.8,111.65,92.48,108.275,113.9,112.2116,105.575,114.2366,111.3116
5005000,935000,1267000,792000,105000,5678000,20000,14000,11000,250000,68000,65000,2472000,3843000,6315000,25000000,114.8,111.65,92.48,108.275,113.9,112.2116,105.575,114.2366,111.3116
5005000,874000,1196000,1186000,105000,5678000,20000,11000,11000,250000,68000,65000,2501000,3363000,5864000,25000000,114.8,111.2,92.48,108.275,113.9,112.2116,105.575,114.2366,111.3116
5005000,874000,1204000,833000,105000,5446000,20000,11000,4000,236000,68000,65000,2405000,3608000,6013000,25000000,114.8,111.2,92.48,108.275,113.9,112.2116,105.575,114.2366,111.3116
4789000,853000,1339000,1008000,105000,5446000,30000,11000,11000,236000,68000,65000,2406000,3072000,5478000,25000000,114.8,111.2,92.48,108.3866,114.0116,112.325,105.6866,114.35,111.425
4789000,914000,1196000,968000,168000,5446000,30000,11000,11000,236000,74000,65000,2468000,5714000,8182000,25000000,114.8,111.2,92.48,108.3866,114.0116,112.325,105.6866,114.35,111.425
4789000,798000,1179000,1068000,105000,5493000,20000,11000,11000,219000,74000,65000,2416000,5101000,7517000,25000000,114.8,111.2,92.48,108.3866,114.0116,112.325,105.6866,114.35,111.425
4843000,874000,1267000,1270000,105000,5493000,30000,11000,11000,219000,74000,65000,2399000,6496000,8895000,25000000,114.8,111.65,92.48,108.3866,114.0116,112.325,105.6866,114.35,111.425
4843000,833000,1339000,1113000,105000,5493000,30000,11000,11000,234000,70000,65000,2469000,5748000,8217000,25000000,114.8,111.65,92.48,108.3866,114.0116,112.325,105.6866,114.35,111.425
4978000,792000,1348000,2056000,314000,5353000,30000,11000,11000,234000,74000,65000,2403000,7033000,9436000,25000000,114.8,111.65,92.48,108.5,114.125,112.4366,105.8,114.4616,111.5366
4978000,1073000,1924000,1520000,105000,5353000,20000,76000,14000,234000,72000,65000,2548000,5611000,8159000,25000000,114.8,111.65,92.48,108.5,114.125,112.4366,105.8,114.4616,111.5366
4978000,1118000,1227000,1854000,757000,5654000,20000,667000,4000,280000,79000,65000,2474000,9056000,11530000,25000000,114.8,111.65,92.48,108.5,114.125,112.4366,105.8,114.4616,111.5366
