wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
4801000,1376000,1339000,847000,105000,5439000,30000,11000,11000,110000,70000,63000,2532000,4969000,7501000,25000000,109.4,106.25,91.4,104.1116,108.5,106.925,102.875,109.0616,106.3616
4801000,833000,1330000,847000,105000,5439000,20000,11000,11000,217000,68000,63000,2468000,7289000,9757000,25000000,109.4,106.25,91.4,104.1116,108.5,106.925,102.875,109.0616,106.3616
4801000,935000,1259000,826000,105000,5659000,30000,11000,11000,217000,68000,63000,2497000,6837000,9334000,25000000,109.4,106.25,91.4,104.225,108.8366,107.15,102.9866,109.4,106.7
5008000,839000,1275000,1719000,105000,5659000,30000,11000,11000,217000,68000,63000,2461000,5030000,7491000,25000000,109.4,106.25,91.4,104.225,108.8366,107.15,102.9866,109.4,106.7
5008000,833000,1686000,2184000,105000,5659000,20000,76000,7000,256000,72000,63000,2479000,5897000,8376000,25000000,109.4,106.25,91.4,104.225,108.8366,107.15,102.9866,109.4,106.7
5020000,1035000,1339000,968000,784000,5670000,20000,30000,11000,256000,72000,63000,2454000,7050000,9504000,25000000,109.4,106.7,91.4,104.225,108.8366,107.15,102.9866,109.4,106.7
5020000,737000,1259000,1552000,3357000,5670000,10000,30000,11000,256000,72000,63000,2461000,6925000,9386000,25000000,109.4,106.7,91.4,104.225,108.8366,107.15,102.9866,109.4,106.7
5020000,737000,1354000,847000,105000,5670000,20000,30000,7000,287000,70000,63000,2444000,7280000,9724000,25000000,109.4,106.7,91.4,104.3366,109.175,107.4866,103.1,109.625,106.925
4810000,737000,1330000,2016000,105000,5440000,30000,14000,11000,287000,72000,63000,2472000,6595000,9067000,25000000,109.4,107.15,91.4,104.3366,109.175,107.4866,103.1,109.625,106.925
4810000,853000,1520000,1109000,3398000,5440000,30000,11000,11000,287000,74000,63000,2356000,8987000,11343000,25000000,109.4,107.15,91.4,104.3366,109.175,107.4866,103.1,109.625,106.925
4810000,1125000,1306000,1754000,2722000,5440000,20000,11000,11000,299000,70000,63000,2418000,9797000,12215000,25000000,109.4,106.7,91.4,104.3366,109.175,107.4866,103.1,109.625,106.925
4996000,860000,1315000,1552000,2682000,5656000,20000,11000,11000,299000,68000,63000,2368000,10040000,12408000,25000000,109.4,106.7,91.4,104.3366,109.175,107.4866,103.1,109.625,106.925
