time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
5.003,,4798000,1073000,1805000,1351000,105000,4960000,203000,0,5000,4000,65000,63000,2177000,3226000,5403000,25000000,111.2,108.05,80.6,105.8,110.975,109.4,102.875,111.2,108.5
5.202,,4462000,1118000,1306000,887000,105000,4960000,203000,109000,656000,0,86000,63000,2213000,4461000,6674000,25000000,111.2,108.05,80.6,105.8,110.975,109.4,102.875,111.2,108.5
5.402,,4462000,1050000,1805000,887000,105000,5168000,203000,0,30000,4000,68000,63000,2156000,3498000,5654000,25000000,111.2,108.05,80.6,105.8,111.0866,109.4,102.875,111.3116,108.6116
5.603,,4462000,1073000,1626000,887000,105000,5168000,211000,0,30000,4000,68000,63000,2216000,3834000,6050000,25000000,111.2,108.05,80.6,105.8,111.0866,109.4,102.875,111.3116,108.6116
5.803,,4502000,1050000,1544000,760000,105000,5168000,211000,0,30000,4000,68000,63000,2155000,3616000,5771000,25000000,111.2,108.05,80.6,105.8,111.0866,109.4,102.875,111.3116,108.6116
6.002,,4502000,1118000,1924000,751000,105000,5154000,211000,0,30000,4000,68000,63000,2125000,3296000,5421000,25000000,111.2,108.05,80.6,105.8,111.0866,109.4,102.875,111.3116,108.6116
6.203,,4502000,1065000,1530000,948000,105000,5154000,232000,0,5000,4000,68000,63000,2261000,3468000,5729000,25000000,111.2,108.05,80.6,105.8,111.0866,109.4,102.875,111.3116,108.6116
6.403,,4264000,1065000,2209000,625000,105000,5154000,232000,0,5000,11000,68000,63000,2113000,6116000,8229000,25000000,111.2,108.5,80.6,105.9116,111.0866,109.5116,102.9866,111.3116,108.6116
6.602,,4264000,1028000,1829000,691000,105000,5302000,214000,0,5000,4000,68000,63000,2116000,3497000,5613000,25000000,111.2,108.5,80.6,105.9116,111.0866,109.5116,102.9866,111.3116,108.6116
6.802,,4264000,1050000,1544000,691000,105000,5302000,214000,0,5000,11000,68000,63000,2107000,3547000,5654000,25000000,111.2,108.5,80.6,105.9116,111.0866,109.5116,102.9866,111.3116,108.6116
7.002,,4807000,1073000,1781000,691000,105000,5302000,214000,0,5000,11000,68000,63000,2212000,4034000,6246000,25000000,111.2,108.5,80.6,105.9116,111.0866,109.5116,102.9866,111.3116,108.6116
7.202,,4807000,1162000,1520000,744000,105000,5889000,202000,0,5000,11000,68000,63000,2222000,4290000,6512000,25000000,111.2,108.5,80.6,105.9116,111.0866,109.5116,102.9866,111.3116,108.6116
7.403,,5203000,1118000,1473000,766000,105000,5889000,202000,0,5000,11000,68000,63000,2261000,3751000,6012000,25000000,111.2,108.5,80.6,105.9116,111.2,109.5116,103.1,111.425,108.6116
7.603,,5203000,1073000,1615000,772000,105000,5889000,202000,0,5000,4000,68000,63000,2242000,3944000,6186000,25000000,111.2,108.5,80.6,105.9116,111.2,109.5116,103.1,111.425,108.6116
7.803,,5203000,1110000,1458000,1229000,105000,5957000,197000,0,5000,11000,68000,63000,2269000,4100000,6369000,25000000,111.2,108.95,80.6,105.9116,111.2,109.5116,103.1,111.425,108.6116
8.003,,5258000,1132000,1758000,691000,105000,5957000,197000,0,5000,4000,68000,63000,2248000,5208000,7456000,25000000,111.2,108.95,80.6,105.9116,111.2,109.5116,103.1,111.425,108.6116
8.202,,5258000,1050000,1362000,772000,105000,5960000,197000,0,5000,11000,68000,63000,2326000,4342000,6668000,25000000,111.2,108.5,80.6,105.9116,111.2,109.5116,103.1,111.425,108.6116
8.403,,5258000,1065000,1900000,1089000,105000,5960000,185000,0,5000,4000,68000,63000,2282000,4072000,6354000,25000000,111.2,108.95,80.6,106.025,111.3116,109.625,103.1,111.5366,108.725
8.603,,5304000,1028000,1710000,1064000,105000,5960000,185000,0,5000,11000,68000,63000,2345000,9892000,12237000,25000000,111.2,108.95,80.6,106.025,111.3116,109.625,103.1,111.5366,108.725
8.803,,5304000,1386000,2066000,1008000,105000,6218000,185000,0,5000,11000,74000,63000,2254000,4649000,6903000,25000000,111.2,108.95,80.6,106.025,111.3116,109.625,103.1,111.5366,108.725
9.002,,5304000,1118000,1615000,706000,2885000,6218000,254000,10000,637000,0,72000,63000,2293000,4877000,7170000,25000000,111.2,108.95,80.6,106.025,111.3116,109.625,103.1,111.5366,108.725
9.203,,5609000,1140000,2399000,711000,105000,6218000,254000,0,30000,4000,68000,63000,2252000,6226000,8478000,25000000,111.2,108.95,80.6,106.025,111.3116,109.625,103.1,111.5366,108.725
9.403,,5609000,1176000,2066000,968000,1761000,5991000,254000,0,30000,4000,68000,63000,2184000,4639000,6823000,25000000,111.2,109.4,80.6,106.025,111.425,109.7366,103.2116,111.65,108.8366
9.603,,5609000,1353000,1971000,691000,105000,5991000,201000,0,30000,4000,68000,63000,2243000,4098000,6341000,25000000,113,108.95,80.6,106.025,111.425,109.7366,103.2116,111.65,108.8366
9.803,,5100000,1065000,1530000,1008000,3230000,5991000,201000,0,5000,11000,68000,63000,2181000,4435000,6616000,25000000,113,109.4,80.6,106.025,111.425,109.7366,103.2116,111.65,108.8366
10.003,,5100000,1118000,1615000,691000,2864000,5632000,201000,0,5000,4000,68000,63000,2198000,4531000,6729000,25000000,113,108.95,80.6,106.025,111.425,109.7366,103.2116,111.65,108.8366
10.203,,5100000,1176000,1473000,840000,105000,5632000,220000,0,5000,11000,86000,63000,2167000,4450000,6617000,25000000,113,108.95,80.6,106.025,111.425,109.7366,103.2116,111.65,108.8366
10.404,,4950000,1176000,1458000,711000,2824000,5632000,220000,0,30000,4000,68000,63000,2126000,4060000,6186000,25000000,113,108.95,80.6,106.1366,111.5366,109.85,103.2116,111.875,108.95
10.602,,4950000,1265000,1506000,867000,105000,5668000,220000,0,30000,4000,68000,63000,2113000,3548000,5661000,25000000,113,109.4,80.6,106.1366,111.5366,109.85,103.2116,111.875,108.95
10.803,,4950000,1132000,1544000,968000,105000,5668000,222000,0,30000,4000,68000,63000,2167000,3901000,6068000,25000000,113,109.4,80.6,106.1366,111.5366,109.85,103.2116,111.875,108.95
11.003,,4709000,1132000,1520000,630000,105000,5668000,222000,0,30000,4000,68000,63000,2174000,4297000,6471000,25000000,113,108.95,80.6,106.1366,111.5366,109.85,103.2116,111.875,108.95
11.203,,4709000,1309000,1971000,691000,3210000,5449000,200000,0,5000,4000,68000,63000,2104000,4222000,6326000,25000000,113,108.95,80.6,106.1366,111.5366,109.85,103.2116,111.875,108.95
11.402,,4709000,1154000,1544000,853000,105000,5449000,200000,0,5000,4000,68000,63000,2154000,3697000,5851000,25000000,113,109.4,80.6,106.25,111.5366,109.85,103.325,111.875,108.95
11.603,,4584000,1353000,1506000,766000,2153000,5449000,200000,0,5000,11000,68000,63000,2108000,4018000,6126000,25000000,113,108.95,80.6,106.25,111.5366,109.85,103.325,111.875,108.95
11.803,,4584000,1420000,1520000,860000,2174000,5318000,237000,0,5000,4000,68000,63000,2116000,4021000,6137000,25000000,113,109.4,80.6,106.25,111.5366,109.85,103.325,111.875,108.95
12.004,,4609000,1553000,1458000,670000,1780000,5318000,237000,0,5000,11000,68000,63000,2135000,4524000,6659000,25000000,113,109.4,80.6,106.25,111.5366,109.85,103.325,111.875,108.95
12.202,,4609000,1398000,1710000,1480000,105000,5318000,237000,0,5000,7000,68000,63000,2204000,4938000,7142000,25000000,113,109.4,80.6,106.25,111.5366,109.85,103.325,111.875,108.95
12.402,,4609000,1198000,1853000,1060000,105000,5289000,188000,0,5000,4000,68000,65000,2225000,3537000,5762000,25000000,113,108.95,80.6,106.25,111.65,109.85,103.4366,111.9866,109.0616
12.602,,4651000,1043000,1544000,960000,105000,5289000,188000,0,5000,4000,68000,63000,2248000,3561000,5809000,25000000,113,109.4,80.6,106.25,111.65,109.85,103.4366,111.9866,109.0616
12.802,,4651000,1487000,1520000,1360000,105000,5300000,188000,0,5000,4000,70000,63000,2321000,3540000,5861000,25000000,113,108.95,80.6,106.25,111.65,109.85,103.4366,111.9866,109.0616
13.003,,4651000,1110000,1663000,1120000,105000,5300000,219000,0,5000,11000,68000,63000,2213000,3556000,5769000,25000000,113,109.4,80.6,106.25,111.65,109.85,103.4366,111.9866,109.0616
13.203,,4639000,1198000,1663000,1320000,105000,5300000,219000,0,5000,11000,68000,63000,2223000,3577000,5800000,25000000,113,109.4,80.6,106.25,111.65,109.85,103.4366,111.9866,109.0616
13.402,,4639000,1110000,1520000,1126000,105000,5676000,219000,0,5000,11000,68000,63000,2167000,3422000,5589000,25000000,113,109.4,80.6,106.3616,111.7616,109.9616,103.4366,111.9866,109.0616
13.603,,4639000,1043000,1853000,1120000,105000,5676000,207000,0,5000,11000,68000,63000,2205000,3850000,6055000,25000000,113,109.4,80.6,106.3616,111.7616,109.9616,103.4366,111.9866,109.0616
13.803,,5277000,1198000,1805000,940000,105000,5676000,207000,0,5000,11000,68000,63000,2165000,3556000,5721000,25000000,113,109.4,80.6,106.3616,111.7616,109.9616,103.4366,111.9866,109.0616
14.002,,5277000,1118000,2114000,766000,105000,6125000,207000,10000,73000,4000,72000,63000,2371000,6584000,8955000,25000000,113,109.4,80.6,106.3616,111.7616,109.9616,103.4366,111.9866,109.0616
14.202,,5277000,1065000,1267000,1580000,105000,6125000,219000,10000,30000,4000,68000,63000,2307000,4494000,6801000,25000000,113,109.4,80.6,106.3616,111.7616,109.9616,103.4366,111.9866,109.0616
14.402,,5420000,1073000,1568000,751000,105000,6125000,219000,0,30000,4000,68000,63000,2310000,6858000,9168000,25000000,113,108.95,80.6,106.3616,111.7616,109.9616,103.4366,112.1,109.175
14.602,,5420000,1043000,1900000,1200000,105000,6110000,219000,0,30000,4000,68000,63000,2244000,5362000,7606000,25000000,113,108.95,80.6,106.3616,111.7616,109.9616,103.4366,112.1,109.175
14.803,,5420000,1140000,1900000,1310000,105000,6110000,227000,0,30000,4000,68000,63000,2316000,4201000,6517000,25000000,113,109.4,80.6,106.3616,111.7616,109.9616,103.4366,112.1,109.175
