wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
5789000,1162000,1371000,1270000,5649000,6422000,20000,14000,11000,127000,74000,68000,2436000,3805000,6241000,25000000,120.2,117.05,89.78,114.125,119.525,117.6116,111.5366,120.425,117.1616
5789000,874000,1362000,1048000,3636000,6422000,30000,14000,11000,195000,74000,68000,2400000,4150000,6550000,25000000,120.2,117.5,89.78,114.125,119.525,117.6116,111.5366,120.425,117.275
5789000,1287000,1362000,1180000,5363000,6667000,20000,11000,11000,195000,88000,68000,2431000,3428000,5859000,25000000,120.2,117.5,89.78,114.125,119.525,117.6116,111.5366,120.425,117.275
5527000,1398000,1387000,1028000,105000,6667000,10000,35000,11000,195000,70000,68000,2383000,4215000,6598000,25000000,120.2,117.5,89.78,114.125,119.525,117.6116,111.5366,120.425,117.275
5527000,1184000,1267000,1089000,2334000,6667000,20000,32000,11000,236000,70000,68000,2425000,3896000,6321000,25000000,120.2,117.5,89.78,114.125,119.525,117.6116,111.5366,120.425,117.275
5527000,1265000,1362000,899000,2390000,6267000,20000,32000,11000,236000,74000,68000,2501000,4303000,6804000,25000000,120.2,117.5,89.78,114.125,119.525,117.6116,111.5366,120.425,117.275
5609000,1251000,1315000,1089000,105000,6267000,10000,32000,11000,236000,70000,68000,2360000,3423000,5783000,25000000,120.2,117.5,89.78,114.125,119.6366,117.6116,111.5366,120.425,117.275
5609000,1270000,1362000,1071000,2336000,6459000,30000,14000,11000,295000,72000,68000,2380000,4600000,6980000,25000000,120.2,117.5,89.78,114.125,119.6366,117.6116,111.5366,120.425,117.275
5609000,1403000,1339000,1113000,105000,6459000,20000,11000,11000,295000,72000,68000,2361000,3301000,5662000,25000000,120.2,117.5,89.78,114.125,119.6366,117.6116,111.5366,120.425,117.275
5417000,968000,1362000,1413000,105000,6459000,30000,14000,11000,295000,70000,68000,2402000,4079000,6481000,25000000,120.2,117.5,89.78,114.125,119.6366,117.6116,111.5366,120.425,117.275
5417000,1270000,1315000,1109000,105000,6510000,30000,14000,11000,292000,70000,68000,2409000,3254000,5663000,25000000,120.2,117.5,89.78,114.125,119.6366,117.6116,111.5366,120.425,117.275
5417000,1273000,1267000,1413000,796000,6510000,30000,11000,11000,292000,70000,68000,2477000,3826000,6303000,25000000,120.2,117.5,89.78,114.125,119.6366,117.725,111.5366,120.425,117.275
5752000,874000,1179000,942000,147000,6510000,30000,11000,4000,292000,70000,68000,2484000,3104000,5588000,25000000,120.2,117.05,89.78,114.125,119.6366,117.725,111.5366,120.425,117.275
5752000,975000,1339000,610000,105000,6433000,20000,78000,7000,297000,79000,68000,2479000,7500000,9979000,25000000,120.2,117.5,89.78,114.125,119.6366,117.725,111.5366,120.425,117.275
5752000,914000,1330000,1113000,565000,6433000,20000,35000,11000,297000,70000,68000,2437000,3355000,5792000,25000000,120.2,117.5,89.78,114.125,119.6366,117.725,111.5366,120.425,117.275
5725000,874000,1315000,751000,105000,6433000,20000,32000,11000,297000,70000,68000,2448000,7117000,9565000,25000000,120.2,117.5,89.78,114.125,119.6366,117.725,111.5366,120.425,117.275
5725000,914000,1315000,751000,105000,6648000,20000,32000,11000,228000,72000,68000,2413000,3512000,5925000,25000000,120.2,117.5,89.6,114.2366,119.6366,117.725,111.65,120.425,117.275
5725000,1353000,1267000,853000,105000,6648000,30000,14000,11000,228000,74000,68000,2410000,7839000,10249000,25000000,120.2,117.5,89.6,114.2366,119.6366,117.725,111.65,120.425,117.275
5661000,1318000,1259000,776000,503000,6648000,20000,14000,11000,228000,74000,68000,2514000,3527000,6041000,25000000,120.2,117.5,89.6,114.2366,119.6366,117.725,111.65,120.425,117.275
5661000,914000,1330000,776000,353000,6437000,30000,14000,11000,227000,70000,68000,2476000,3164000,5640000,25000000,120.2,117.5,89.6,114.2366,119.6366,117.725,111.65,120.425,117.275
5661000,914000,1259000,691000,769000,6437000,20000,14000,11000,227000,70000,68000,2573000,4227000,6800000,25000000,120.2,117.5,89.6,114.2366,119.6366,117.725,111.65,120.425,117.275
5804000,1056000,1243000,1134000,105000,6437000,20000,11000,11000,253000,70000,68000,2570000,3864000,6434000,25000000,120.2,117.5,89.78,114.2366,119.75,117.725,111.65,120.5366,117.275
5804000,914000,1354000,776000,3350000,6659000,20000,11000,11000,253000,70000,68000,2629000,3260000,5889000,25000000,120.2,117.5,89.78,114.2366,119.75,117.725,111.65,120.5366,117.275
5582000,1318000,1243000,992000,105000,6659000,20000,14000,11000,253000,70000,68000,2636000,3342000,5978000,25000000,120.2,117.5,89.78,114.2366,119.75,117.725,111.65,120.5366,117.275
5582000,1296000,1315000,691000,105000,6659000,30000,14000,11000,288000,72000,68000,2575000,3773000,6348000,25000000,120.2,117.5,89.78,114.2366,119.75,117.725,111.65,120.5366,117.275
