wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
6371000,928000,1663000,1391000,105000,7074000,20000,30000,11000,107000,79000,65000,2419000,3947000,6366000,25000000,111.2,108.5,89.42,105.4616,110.4116,108.725,103.325,111.0866,108.1616
6371000,935000,1781000,733000,105000,7074000,20000,11000,11000,107000,68000,65000,2552000,7006000,9558000,25000000,111.2,108.5,89.42,105.4616,110.4116,108.725,103.325,111.0866,108.1616
6414000,1140000,1758000,1035000,147000,7097000,30000,11000,11000,303000,74000,65000,2490000,4165000,6655000,25000000,111.2,108.5,89.42,105.6866,110.6366,108.95,103.4366,111.2,108.275
6414000,1132000,1378000,1006000,105000,7097000,30000,14000,11000,303000,70000,65000,2561000,3815000,6376000,25000000,111.2,108.05,89.42,105.6866,110.6366,108.95,103.4366,111.2,108.275
6414000,914000,1853000,711000,105000,7097000,30000,11000,11000,303000,68000,65000,2567000,3256000,5823000,25000000,111.2,108.5,89.42,105.6866,110.6366,108.95,103.4366,111.2,108.275
6432000,914000,1948000,670000,105000,7118000,30000,14000,11000,548000,74000,65000,2449000,3569000,6018000,25000000,111.2,108.5,89.42,105.6866,110.6366,108.95,103.4366,111.2,108.275
6432000,853000,1267000,670000,4503000,7118000,20000,11000,7000,548000,74000,65000,2488000,3164000,5652000,25000000,111.2,108.95,89.42,105.6866,110.6366,108.95,103.4366,111.2,108.275
6432000,914000,1948000,711000,105000,7118000,30000,11000,7000,548000,68000,65000,2568000,3101000,5669000,25000000,111.2,108.5,89.42,105.8,110.8616,109.175,103.55,111.425,108.5
6396000,1081000,1663000,733000,3799000,7163000,20000,11000,11000,621000,74000,63000,2450000,3522000,5972000,25000000,111.2,108.95,89.42,105.8,110.8616,109.175,103.55,111.425,108.5
6396000,928000,2066000,1551000,105000,7163000,20000,30000,11000,621000,68000,65000,2572000,3995000,6567000,25000000,111.2,108.95,89.42,105.8,110.8616,109.175,103.55,111.425,108.5
6396000,914000,1686000,792000,754000,7163000,20000,32000,7000,621000,70000,65000,2494000,3356000,5850000,25000000,111.2,108.95,89.42,105.8,110.8616,109.175,103.55,111.425,108.5
6179000,955000,1900000,1371000,105000,7167000,20000,30000,11000,455000,68000,65000,2578000,3424000,6002000,25000000,111.2,108.95,89.42,105.8,110.8616,109.175,103.55,111.425,108.5
