wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
6289000,1175000,2636000,711000,105000,7121000,89000,14000,11000,198000,83000,70000,2479000,4192000,6671000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.4116
6289000,1056000,2304000,776000,4258000,7262000,30000,11000,7000,198000,70000,70000,2583000,4189000,6772000,25000000,123.8,120.65,89.06,116.375,122,119.975,113.7866,122.9,119.525
6439000,968000,2114000,1109000,105000,7262000,20000,14000,11000,235000,70000,70000,2588000,3962000,6550000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.525
6439000,1028000,2375000,766000,105000,7262000,30000,11000,11000,235000,70000,70000,2640000,3630000,6270000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.525
6439000,1016000,2280000,711000,105000,7271000,20000,14000,11000,235000,70000,70000,2670000,4289000,6959000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.525
6390000,907000,2351000,935000,105000,7271000,20000,11000,11000,299000,70000,70000,2660000,4543000,7203000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.525
6390000,1048000,2114000,792000,105000,7271000,30000,14000,11000,299000,70000,70000,2621000,4520000,7141000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.525
6390000,928000,2138000,863000,105000,7280000,20000,14000,11000,299000,70000,70000,2632000,4213000,6845000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.525
6381000,1068000,2233000,776000,105000,7280000,30000,14000,11000,293000,70000,70000,2502000,3654000,6156000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.525
6381000,1138000,2280000,1138000,105000,7280000,30000,11000,11000,293000,70000,70000,2541000,4395000,6936000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.525
6381000,880000,2280000,948000,105000,7327000,20000,14000,11000,293000,72000,70000,2577000,6449000,9026000,25000000,123.8,120.2,89.06,116.375,122,119.975,113.7866,122.9,119.525
