wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
6381000,935000,1354000,1315000,105000,7132000,30000,11000,11000,233000,70000,63000,2386000,2956000,5342000,25000000,109.4,107.15,89.24,104.45,109.4,107.6,102.5366,109.85,107.0366
6381000,1076000,1449000,1250000,105000,7132000,20000,11000,11000,233000,72000,65000,2446000,3274000,5720000,25000000,109.4,107.15,89.24,104.45,109.4,107.6,102.5366,109.85,107.0366
6381000,914000,1449000,1056000,105000,7158000,20000,14000,11000,246000,74000,63000,2423000,3990000,6413000,25000000,109.4,107.15,89.24,104.45,109.4,107.6,102.5366,109.85,107.0366
6420000,914000,1354000,1129000,105000,7158000,30000,11000,11000,246000,68000,63000,2422000,7215000,9637000,25000000,111.2,107.15,89.24,104.675,109.625,107.7116,102.65,110.075,107.2616
6420000,935000,1362000,1086000,105000,7158000,30000,14000,11000,246000,68000,63000,2427000,7176000,9603000,25000000,111.2,107.15,89.24,104.675,109.625,107.7116,102.65,110.075,107.2616
6420000,914000,1449000,760000,147000,7013000,20000,14000,11000,262000,72000,63000,2403000,6926000,9329000,25000000,111.2,107.15,89.24,104.675,109.625,107.7116,102.65,110.075,107.2616
6420000,914000,1401000,610000,105000,7013000,20000,11000,4000,262000,68000,63000,2528000,3808000,6336000,25000000,111.2,107.6,89.24,104.675,109.625,107.7116,102.65,110.075,107.2616
6420000,1056000,1330000,755000,105000,7013000,20000,14000,11000,262000,72000,65000,2487000,3314000,5801000,25000000,111.2,107.15,89.24,104.675,109.625,107.7116,102.65,110.075,107.2616
6381000,1048000,1995000,798000,105000,7061000,20000,11000,11000,298000,74000,65000,2472000,3939000,6411000,25000000,111.2,107.15,89.24,104.7866,109.85,107.9366,102.7616,110.1866,107.375
6381000,914000,1544000,751000,3910000,7061000,20000,11000,11000,298000,72000,65000,2545000,3451000,5996000,25000000,111.2,107.6,89.24,104.7866,109.85,107.9366,102.7616,110.1866,107.375
6381000,975000,1615000,890000,838000,7061000,149000,203000,11000,298000,68000,65000,2620000,3125000,5745000,25000000,111.2,107.6,89.24,104.7866,109.85,107.9366,102.7616,110.1866,107.375
6378000,935000,1449000,739000,3726000,7118000,30000,14000,11000,226000,72000,65000,2566000,3131000,5697000,25000000,111.2,107.6,89.24,104.7866,109.85,107.9366,102.7616,110.1866,107.375
6378000,914000,1354000,733000,105000,7118000,30000,8000,11000,226000,72000,65000,2551000,3327000,5878000,25000000,111.2,107.6,89.24,104.7866,109.85,107.9366,102.7616,110.1866,107.375
6378000,975000,1354000,792000,105000,7099000,20000,659000,4000,226000,90000,63000,2578000,3546000,6124000,25000000,111.2,107.6,89.24,105.0116,110.075,108.275,102.7616,110.525,107.6
6420000,874000,1483000,1270000,105000,7099000,20000,30000,11000,204000,68000,65000,2516000,4297000,6813000,25000000,111.2,107.6,89.24,105.0116,110.075,108.275,102.7616,110.525,107.6
6420000,907000,1948000,874000,105000,7099000,20000,30000,11000,204000,74000,65000,2559000,3853000,6412000,25000000,111.2,107.6,89.24,105.0116,110.075,108.275,102.7616,110.525,107.6
6420000,914000,1354000,733000,105000,7085000,20000,30000,11000,243000,68000,65000,2519000,3159000,5678000,25000000,111.2,107.6,89.24,105.0116,110.075,108.275,102.7616,110.525,107.6
6286000,1028000,1401000,755000,105000,7085000,20000,30000,11000,243000,74000,63000,2497000,3444000,5941000,25000000,111.2,107.6,89.24,105.0116,110.075,108.275,102.7616,110.525,107.6
6286000,1036000,1401000,1178000,105000,7085000,10000,30000,11000,243000,70000,65000,2509000,3222000,5731000,25000000,111.2,107.6,89.24,105.125,110.3,108.3866,102.875,110.6366,107.825
6286000,1048000,1473000,670000,105000,7114000,20000,30000,11000,225000,70000,65000,2555000,3356000,5911000,25000000,111.2,108.05,89.24,105.125,110.3,108.3866,102.875,110.6366,107.825
6332000,955000,1330000,1242000,105000,7114000,20000,181000,4000,225000,72000,65000,2522000,4248000,6770000,25000000,111.2,108.05,89.24,105.125,110.3,108.3866,102.875,110.6366,107.825
6332000,874000,1401000,867000,105000,7114000,30000,11000,14000,225000,72000,63000,2520000,7085000,9605000,25000000,111.2,108.05,89.24,105.125,110.3,108.3866,102.875,110.6366,107.825
